Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
72, 109 | dz = 0.279 | sum = 127.00 | DS | 19.001
72, 114 | dz = 0.186 | sum = -24.61 | DS | 15.848
72, 117 | dz = 0.470 | sum = 119.56 | DS | 15.354
72, 140 | dz = 0.094 | diff = 14.84 | SS | 18.432
73, 150 | dz = 0.745 | sum = 21.21 | DS | 3.003
74, 89 | dz = 0.000 | diff = 6.42 | SS | 2.961
74, 93 | dz = 0.923 | sum = 127.60 | DS | 0.972
74, 117 | dz = 0.000 | diff = 5.34 | SS | 2.334
75, 148 | dz = 0.934 | sum = 21.96 | DS | 9.988
75, 154 | dz = 0.555 | sum = 20.92 | DS | 13.911
76, 96 | dz = 0.184 | diff = 17.47 | SS | 15.106
76, 121 | dz = 0.840 | sum = 5.87 | DS | 15.765
77, 95 | dz = 1.218 | sum = 22.29 | DS | 9.090
78, 87 | dz = 0.197 | diff = 17.14 | SS | 11.496
78, 116 | dz = 1.401 | sum = 26.04 | DS | 11.094
78, 157 | dz = 0.771 | sum = 21.82 | DS | 13.041
79, 103 | dz = 0.522 | sum = 124.95 | DS | 17.429
79, 124 | dz = 0.845 | sum = 23.02 | DS | 7.850
80, 88 | dz = 0.003 | diff = -14.57 | SS | 3.652
80, 123 | dz = 1.030 | sum = 25.45 | DS | 3.010
80, 143 | dz = 0.648 | sum = 20.11 | DS | 6.040
81, 108 | dz = 0.568 | sum = 129.44 | DS | 19.027
81, 126 | dz = 0.009 | diff = -6.50 | SS | 0.900
81, 144 | dz = 0.746 | sum = 21.16 | DS | 13.839
82, 137 | dz = 0.838 | sum = 21.75 | DS | 8.981
82, 152 | dz = 0.756 | sum = 20.01 | DS | 1.008
83, 97 | dz = 0.651 | sum = 19.22 | DS | 13.997
83, 98 | dz = 0.094 | diff = -15.14 | SS | 15.428
83, 122 | dz = 0.665 | sum = 128.60 | DS | 16.997
84, 88 | dz = 0.373 | sum = 17.91 | DS | 12.995
84, 101 | dz = 0.092 | diff = -14.13 | SS | 12.761
84, 116 | dz = 0.837 | sum = 20.50 | DS | 13.910
84, 143 | dz = 0.278 | diff = -13.50 | SS | 14.987
85, 105 | dz = 0.651 | sum = 19.76 | DS | 7.504
85, 134 | dz = 0.186 | diff = 15.29 | SS | 6.264
86, 93 | dz = 0.004 | diff = -14.91 | SS | 18.712
86, 114 | dz = 0.856 | sum = 22.79 | DS | 16.845
86, 117 | dz = 0.571 | sum = 128.01 | DS | 1.051
86, 131 | dz = 0.010 | diff = -15.11 | SS | 14.203
87, 116 | dz = 0.286 | sum = 14.95 | DS | 10.158
87, 143 | dz = 0.089 | diff = -3.55 | SS | 9.697
87, 157 | dz = 0.916 | sum = 129.05 | DS | 7.046
88, 123 | dz = 0.458 | sum = 128.00 | DS | 8.999
88, 143 | dz = 0.840 | sum = 20.97 | DS | 8.218
89, 100 | dz = 1.213 | sum = 128.88 | DS | 11.257
89, 102 | dz = 1.019 | sum = 22.10 | DS | 4.979
89, 113 | dz = 0.102 | diff = -20.79 | SS | 7.992
90, 103 | dz = 0.004 | diff = 13.45 | SS | 12.253
90, 107 | dz = 1.000 | sum = 22.00 | DS | 15.002
90, 142 | dz = 0.565 | sum = 17.42 | DS | 11.576
90, 159 | dz = 0.373 | sum = 13.57 | DS | 16.324
91, 102 | dz = 0.372 | sum = 13.63 | DS | 15.247
91, 134 | dz = 0.094 | sum = 127.20 | DS | 15.181
91, 140 | dz = 1.213 | sum = 23.80 | DS | 8.933
92, 96 | dz = 0.652 | sum = 18.07 | DS | 10.995
92, 135 | dz = 0.328 | sum = 32.00 | DS | 1.368
92, 138 | dz = 0.186 | diff = -16.26 | SS | 15.588
93, 117 | dz = 0.568 | sum = 16.99 | DS | 12.996
93, 149 | dz = 0.749 | sum = 20.64 | DS | 9.321
94, 107 | dz = 0.274 | diff = -8.94 | SS | 1.753
95, 106 | dz = 0.653 | sum = 124.29 | DS | 3.010
97, 98 | dz = 0.745 | sum = 21.64 | DS | 10.358
98, 122 | dz = 0.731 | sum = 20.69 | DS | 9.217
100, 113 | dz = 1.111 | sum = 22.29 | DS | 6.069
100, 119 | dz = 0.918 | diff = 15.13 | SS | 8.393
101, 116 | dz = 0.560 | sum = 17.23 | DS | 9.833
102, 113 | dz = 0.369 | sum = 23.68 | DS | 4.584
102, 134 | dz = 0.277 | diff = 6.30 | SS | 2.677
103, 142 | dz = 0.928 | sum = 22.03 | DS | 8.028
104, 146 | dz = 0.654 | sum = 19.91 | DS | 17.924
105, 134 | dz = 0.465 | sum = 128.48 | DS | 5.739
107, 142 | dz = 0.075 | diff = 12.57 | SS | 14.986
108, 126 | dz = 0.559 | sum = 17.00 | DS | 9.000
109, 114 | dz = 0.465 | diff = -23.92 | SS | 10.236
109, 140 | dz = 0.373 | sum = 16.25 | DS | 14.792
110, 111 | dz = 0.559 | sum = 16.07 | DS | 3.868
110, 148 | dz = 0.018 | diff = 14.23 | SS | 3.498
110, 151 | dz = 0.002 | diff = 4.81 | SS | 2.626
111, 151 | dz = 0.933 | sum = 127.42 | DS | 0.600
111, 152 | dz = 0.000 | diff = 9.47 | SS | 0.734
112, 128 | dz = 0.091 | diff = -2.63 | SS | 1.227
112, 136 | dz = 0.294 | sum = 22.34 | DS | 1.595
112, 141 | dz = 1.208 | sum = 23.98 | DS | 19.021
112, 156 | dz = 0.829 | sum = 15.59 | DS | 17.006
114, 117 | dz = 0.285 | diff = 23.19 | SS | 12.104
114, 158 | dz = 0.746 | sum = 21.00 | DS | 17.004
115, 124 | dz = 0.789 | sum = 22.10 | DS | 1.007
115, 159 | dz = 0.748 | diff = 18.65 | SS | 11.775
116, 143 | dz = 0.375 | sum = 129.81 | DS | 16.001
118, 133 | dz = 0.088 | diff = -10.48 | SS | 12.323
118, 137 | dz = 0.655 | sum = 17.82 | DS | 12.184
118, 155 | dz = 0.094 | diff = -9.73 | SS | 10.387
119, 144 | dz = 0.000 | diff = -1.17 | SS | 15.941
121, 158 | dz = 0.003 | diff = 11.62 | SS | 9.133
123, 145 | dz = 0.653 | sum = 125.83 | DS | 13.231
128, 150 | dz = 0.408 | sum = 127.82 | DS | 7.721
128, 156 | dz = 0.753 | sum = 129.05 | DS | 16.000
129, 133 | dz = 0.094 | diff = -9.11 | SS | 14.640
129, 147 | dz = 0.747 | sum = 19.99 | DS | 13.996
130, 147 | dz = 0.745 | sum = 19.64 | DS | 10.993
132, 151 | dz = 0.746 | sum = 20.17 | DS | 12.000
132, 152 | dz = 0.186 | diff = -13.93 | SS | 11.812
132, 156 | dz = 0.651 | sum = 19.10 | DS | 15.828
133, 147 | dz = 0.649 | sum = 15.12 | DS | 6.105
135, 138 | dz = 0.976 | sum = 129.00 | DS | 11.000
136, 141 | dz = 0.012 | diff = 21.17 | SS | 5.406
137, 152 | dz = 0.104 | diff = 5.81 | SS | 9.928
139, 145 | dz = 0.729 | sum = 20.23 | DS | 17.786
146, 159 | dz = 1.029 | sum = 126.60 | DS | 16.701
148, 154 | dz = 0.000 | diff = -15.03 | SS | 9.851
149, 155 | dz = 0.038 | diff = -9.53 | SS | 7.850
151, 152 | dz = 0.558 | sum = 18.93 | DS | 9.579
151, 156 | dz = 0.093 | diff = -11.62 | SS | 10.610
Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
