Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
67, 121 | dz = 0.000 | diff = 0.02 | SS | 0.743
67, 136 | dz = 0.000 | diff = -0.14 | SS | 0.705
68, 103 | dz = 0.000 | diff = -0.30 | SS | 1.000
68, 126 | dz = 0.002 | diff = -0.64 | SS | 0.537
69, 99 | dz = 0.000 | diff = 1.00 | SS | 0.982
70, 106 | dz = 0.364 | diff = -77.70 | SD | 0.968
70, 122 | dz = 0.000 | diff = 0.05 | SS | 1.003
70, 131 | dz = 0.000 | diff = 0.10 | SS | 1.099
70, 144 | dz = 0.364 | diff = -77.68 | SD | 1.586
71, 102 | dz = 0.000 | diff = -0.09 | SS | 1.204
71, 107 | dz = 0.000 | diff = 0.09 | SS | 1.010
72, 79 | dz = 0.000 | diff = -0.14 | SS | 1.147
72, 125 | dz = 0.000 | diff = -0.35 | SS | 0.352
72, 129 | dz = 0.002 | diff = 0.16 | SS | 0.392
72, 138 | dz = 0.002 | diff = 0.03 | SS | 1.174
74, 112 | dz = 0.000 | diff = -0.14 | SS | 0.861
75, 77 | dz = 0.000 | diff = -0.14 | SS | 0.605
75, 89 | dz = 0.000 | diff = 0.40 | SS | 0.880
75, 94 | dz = 0.000 | diff = 0.13 | SS | 1.018
75, 105 | dz = 0.000 | diff = 0.23 | SS | 1.365
75, 123 | dz = 0.000 | diff = 0.01 | SS | 0.731
75, 158 | dz = 0.000 | diff = 0.40 | SS | 1.308
76, 85 | dz = 0.000 | diff = -0.04 | SS | 0.967
76, 104 | dz = 0.000 | diff = -0.14 | SS | 1.001
76, 136 | dz = 0.000 | diff = 0.15 | SS | 1.703
76, 159 | dz = 0.000 | diff = -0.07 | SS | 0.920
77, 89 | dz = 0.000 | diff = 0.26 | SS | 1.440
77, 105 | dz = 0.000 | diff = 0.37 | SS | 1.002
77, 150 | dz = 0.000 | diff = -0.17 | SS | 0.998
78, 144 | dz = 0.000 | diff = 0.07 | SS | 1.028
78, 155 | dz = 0.000 | diff = 0.12 | SS | 1.115
79, 115 | dz = 0.361 | diff = -76.66 | SD | 3.069
79, 125 | dz = 0.000 | diff = -0.50 | SS | 1.760
79, 151 | dz = 0.361 | diff = -76.30 | SD | 0.957
80, 141 | dz = 0.001 | diff = 0.50 | SS | 1.017
80, 146 | dz = 0.000 | diff = 0.02 | SS | 0.418
80, 147 | dz = 0.001 | diff = 1.32 | SS | 0.687
81, 97 | dz = 0.000 | diff = 0.12 | SS | 0.882
81, 114 | dz = 0.000 | diff = 0.12 | SS | 1.170
81, 132 | dz = 0.000 | diff = 0.16 | SS | 0.836
82, 90 | dz = 0.365 | diff = -78.77 | SD | 0.103
82, 127 | dz = 0.000 | diff = -0.60 | SS | 1.283
82, 140 | dz = 0.000 | diff = 0.08 | SS | 0.960
84, 137 | dz = 0.000 | diff = 0.30 | SS | 0.701
84, 152 | dz = 0.000 | diff = -0.06 | SS | 1.034
84, 157 | dz = 0.000 | diff = 0.19 | SS | 1.014
85, 117 | dz = 0.000 | diff = -0.01 | SS | 0.790
85, 136 | dz = 0.000 | diff = -0.19 | SS | 0.999
85, 159 | dz = 0.000 | diff = -0.03 | SS | 1.508
86, 99 | dz = 0.000 | diff = 0.17 | SS | 0.925
86, 115 | dz = 0.000 | diff = 0.55 | SS | 0.823
86, 148 | dz = 0.000 | diff = 0.77 | SS | 0.986
87, 122 | dz = 0.000 | diff = -0.19 | SS | 1.286
87, 123 | dz = 0.000 | diff = 0.03 | SS | 0.780
87, 156 | dz = 0.000 | diff = 0.05 | SS | 1.037
88, 148 | dz = 0.000 | diff = 0.22 | SS | 0.844
89, 93 | dz = 0.367 | diff = -77.60 | SD | 0.992
89, 150 | dz = 0.001 | diff = 0.09 | SS | 0.996
89, 158 | dz = 0.000 | diff = -0.01 | SS | 1.000
90, 116 | dz = 0.000 | diff = -0.15 | SS | 0.416
91, 124 | dz = 0.000 | diff = -0.10 | SS | 1.023
91, 131 | dz = 0.000 | diff = 0.09 | SS | 0.907
92, 119 | dz = 0.001 | diff = -0.63 | SS | 0.739
92, 145 | dz = 0.001 | diff = -0.06 | SS | 1.191
93, 111 | dz = 0.001 | diff = -0.12 | SS | 1.352
93, 150 | dz = 0.366 | diff = -77.68 | SD | 0.839
94, 105 | dz = 0.000 | diff = 0.11 | SS | 0.669
94, 123 | dz = 0.000 | diff = 0.14 | SS | 1.268
