Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
52, 143 | dz = 1.118 | sum = -55.00 | DD | 18.001
53, 69 | dz = 1.301 | sum = -56.92 | DD | 2.997
53, 127 | dz = 1.315 | sum = -195.38 | DD | 11.406
54, 64 | dz = 0.060 | diff = -15.14 | SS | 6.743
54, 132 | dz = 1.209 | sum = 49.94 | DD | 6.089
54, 149 | dz = 1.304 | sum = -54.60 | DD | 13.931
55, 68 | dz = 0.095 | diff = -15.06 | SS | 12.144
55, 107 | dz = 0.744 | sum = 20.22 | DS | 10.350
55, 137 | dz = 0.168 | diff = -16.72 | SS | 11.899
55, 147 | dz = 0.080 | sum = -206.06 | DD | 15.098
55, 152 | dz = 0.150 | sum = 45.00 | DD | 12.000
56, 103 | dz = 0.080 | diff = -14.20 | SS | 14.286
56, 106 | dz = 0.931 | sum = -60.74 | DD | 11.083
56, 112 | dz = 1.095 | sum = -53.78 | DD | 16.955
56, 151 | dz = 0.665 | sum = 19.70 | DS | 12.443
57, 67 | dz = 0.847 | sum = 49.95 | DD | 3.008
57, 70 | dz = 0.093 | diff = -16.16 | SS | 5.155
57, 155 | dz = 1.211 | sum = -55.88 | DD | 6.497
58, 90 | dz = 0.369 | diff = -64.95 | SD | 7.776
58, 126 | dz = 0.000 | diff = -4.63 | SS | 6.629
59, 75 | dz = 0.932 | sum = 128.97 | DS | 19.025
59, 94 | dz = 0.280 | diff = -93.17 | SD | 17.256
59, 155 | dz = 0.652 | sum = 17.22 | DS | 17.738
60, 79 | dz = 0.002 | diff = -15.98 | SS | 16.649
60, 144 | dz = 1.117 | sum = -56.21 | DD | 18.840
61, 113 | dz = 0.823 | sum = 127.11 | DS | 9.565
61, 130 | dz = 0.262 | sum = 26.95 | DS | 17.421
61, 133 | dz = 1.211 | sum = -201.05 | DD | 12.980
61, 150 | dz = 0.185 | diff = -18.09 | SS | 13.727
62, 91 | dz = 0.186 | diff = 11.81 | SS | 3.974
62, 95 | dz = 0.186 | sum = 47.01 | DD | 3.999
63, 71 | dz = 0.298 | sum = 127.99 | DS | 10.401
63, 143 | dz = 0.474 | diff = -82.02 | SD | 10.234
64, 132 | dz = 1.269 | sum = -199.16 | DD | 13.972
64, 138 | dz = 1.208 | sum = 26.28 | DS | 11.977
65, 68 | dz = 0.283 | sum = 20.39 | DS | 13.228
65, 108 | dz = 1.404 | sum = -57.58 | DD | 11.358
65, 110 | dz = 0.528 | diff = -61.74 | SD | 9.670
65, 123 | dz = 0.097 | sum = -203.07 | DD | 11.004
65, 135 | dz = 0.901 | sum = 127.54 | DS | 5.939
66, 118 | dz = 0.279 | sum = 48.99 | DD | 5.000
67, 70 | dz = 0.940 | sum = -199.92 | DD | 10.087
67, 113 | dz = 0.372 | sum = 21.18 | DS | 7.002
67, 128 | dz = 0.000 | diff = -16.99 | SS | 8.731
68, 110 | dz = 0.245 | sum = 45.85 | DD | 16.830
68, 123 | dz = 1.304 | diff = -199.01 | SD | 12.473
68, 152 | dz = 0.245 | sum = -204.05 | DD | 19.942
70, 93 | dz = 0.093 | diff = -16.72 | SS | 9.244
70, 128 | dz = 0.940 | sum = 49.70 | DD | 6.310
70, 155 | dz = 1.304 | sum = -199.26 | DD | 6.727
71, 87 | dz = 0.074 | diff = 10.83 | SS | 14.159
71, 138 | dz = 1.469 | sum = -54.00 | DD | 13.001
