Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
61, 97 | dz = 0.000 | diff = 0.06 | SS | 1.092
61, 120 | dz = 0.000 | diff = -0.10 | SS | 0.997
61, 150 | dz = 0.001 | diff = -0.10 | SS | 0.798
62, 80 | dz = 0.000 | diff = 0.18 | SS | 1.137
62, 81 | dz = 0.000 | diff = -0.00 | SS | 0.702
62, 110 | dz = 0.000 | diff = 0.09 | SS | 0.993
63, 94 | dz = 0.000 | diff = 0.26 | SS | 1.038
63, 103 | dz = 0.000 | diff = 0.31 | SS | 1.047
63, 105 | dz = 0.000 | diff = 0.14 | SS | 0.740
63, 114 | dz = 0.000 | diff = 0.15 | SS | 1.155
63, 123 | dz = 0.000 | diff = -0.06 | SS | 0.956
64, 95 | dz = 0.000 | diff = -0.06 | SS | 1.009
64, 131 | dz = 0.000 | diff = -0.05 | SS | 1.015
65, 97 | dz = 0.000 | diff = -0.14 | SS | 0.875
66, 71 | dz = 0.000 | diff = -0.14 | SS | 1.149
66, 96 | dz = 0.000 | diff = 0.03 | SS | 0.848
66, 140 | dz = 0.000 | diff = -0.06 | SS | 1.054
67, 143 | dz = 0.000 | diff = 0.02 | SS | 0.927
67, 149 | dz = 0.000 | diff = -0.01 | SS | 0.992
68, 70 | dz = 0.000 | diff = -0.05 | SS | 0.960
68, 119 | dz = 0.000 | diff = 0.06 | SS | 1.089
68, 147 | dz = 0.000 | diff = 0.05 | SS | 0.717
69, 91 | dz = 0.000 | diff = -0.00 | SS | 1.015
69, 133 | dz = 0.000 | diff = 0.02 | SS | 0.953
70, 153 | dz = 0.000 | diff = -0.41 | SS | 0.589
71, 96 | dz = 0.000 | diff = -0.17 | SS | 0.897
71, 99 | dz = 0.000 | diff = -0.04 | SS | 1.223
71, 151 | dz = 0.000 | diff = 0.00 | SS | 0.999
71, 152 | dz = 0.000 | diff = -0.04 | SS | 0.619
73, 88 | dz = 0.000 | diff = 0.07 | SS | 0.974
73, 108 | dz = 0.000 | diff = 0.07 | SS | 1.067
74, 139 | dz = 0.001 | diff = 1.19 | SS | 0.341
74, 150 | dz = 0.000 | diff = -1.28 | SS | 19.352
75, 125 | dz = 0.000 | diff = 0.47 | SS | 1.207
75, 135 | dz = 0.000 | diff = 0.22 | SS | 1.000
76, 88 | dz = 0.000 | diff = 0.02 | SS | 1.013
76, 108 | dz = 0.000 | diff = -0.02 | SS | 0.978
76, 139 | dz = 0.000 | diff = -0.03 | SS | 0.998
76, 141 | dz = 0.000 | diff = -0.02 | SS | 0.985
77, 85 | dz = 0.000 | diff = 0.64 | SS | 0.642
78, 82 | dz = 0.000 | diff = 0.38 | SS | 1.099
